1.423	0.717	0.37	0.234	0.108	0.07
1.454	0.649	0.363	0.203	0.118	0.091
1.485	0.656	0.377	0.234	0.115	0.098
1.495	0.605	0.414	0.223	0.118	0.104
1.485	0.588	0.411	0.2	0.104	0.091
1.451	0.625	0.397	0.213	0.101	0.074
1.444	0.588	0.39	0.237	0.121	0.06
1.445	0.721	0.356	0.298	0.108	0.063
1.454	0.683	0.356	0.322	0.118	0.074
1.482	0.833	0.469	0.377	0.142	0.067
